country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,21.4,20.6,20.9,21.7,22.1,21,21.8,22.5,22.7,23.1,23.7,23.5,23.8,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,30.8,,,,,,,,,,34.4,34.1,,,,
Dominican Republic,,,,,,,,36.1,,,39.8,,,41.9,,,,36.5,37.9,,,40.6,39.5,38.5,41.6,41.6,39,41.1,38.4,37.5,38.4,36.2,37.2,35.6,37.4,33.3,34.5,35,
Ecuador,,,,,,,,,38.4,,,,,,,42.5,,,,37.9,47.9,45.9,,,41.9,42.4,41.2,41.1,42,38.1,37.1,37.5,34.1,34.6,35.7,34.4,34.9,34.3,
Egypt,,,,,,,,,,,,26.7,,,,,26,,,,28.3,,,,,27.4,,,,27,,27.3,,26,,,27.8,,
El Salvador,,,,,,,,,,,,,41.4,,,,38.8,39.4,,40.5,38.6,39,38.6,38.8,37.2,35.6,36.8,35.6,35.7,36.1,36,33.2,32.8,32.6,34.2,32.2,31.8,30.7,
Estonia,,,,,,,,,,,,,,,31.3,,,,,,,,,,28.4,25.9,26.1,26.8,24,24.9,24.4,24.3,24.7,25.2,26.6,26.2,24.4,,
Ethiopia,,,,,,,,,,,,,,,,,38,,,,25.5,,,,,25.6,,,,,,27.4,,,,,31.4,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,29.6,,,,,,32.9,,,,,29.7,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,23,23.2,23,23,23.3,22.9,22.6,22.5,22.7,22.3,22.2,22,22.4,,
France,,,,,,,,,,,,,,,,,,,,,,,,,25.1,24.5,23.9,23.5,26.2,26.7,26.1,27.1,26.9,26.8,26.4,26.1,26.6,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,,,,,,,,,,,,27.7
Gambia,,,,,,,,,,,,,,,,,,,,37.7,,,,,36.9,,,,,,,34.9,,,,,28.7,,
Georgia,,,,,,,,,,,,,,,,,,27.9,29.9,31.2,29.9,30.3,30,28.2,27.1,26.7,27.6,27.4,28.9,28.6,28.7,30,29.7,29.2,29,28.4,27.8,28.1,
Germany,,,,,,,,,,,,,22.9,,,23.1,,,,,,23,24.2,,,24.2,,24.9,25.2,,,24,24.3,,24.6,,24.8,,
Ghana,,,,,,,,,27.3,28.1,,,30.1,,,,,,,29.6,,,,,,,32.7,,,,,,,31.7,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,24.6,25.5,26.3,26.7,26,26,26,25.6,25.6,26.6,26.4,26.1,26.2,,
Guatemala,,,,,,,,46.7,,,46.8,,,,,,,,,,,44,,,,,,43.2,,,,,,,,38.1,,,
Guinea,,,,,,,,,,,,,31.7,,,36,,,,,,,,34,,,,,30.1,,,,,26.4,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,34.4,,,,,,,,,28.1,,,,,,,,42,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,,,,,
