country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Czech Republic,,,,,,,,,,,,,,,4.6,,,4.3,,,,,,,,3.6,3.8,3.7,3.9,3.9,3.8,3.7,3.7,3.9,3.8,3.9,3.9,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,3.9,4,3.5,3.7,3.7,3.7,3.6,3.5,3.7,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,1.3,1.7,,,,
Dominican Republic,,,,,,,,1.4,,,1.7,,,1.6,,,,1.5,1.3,,,1.2,1.5,1.3,1.3,1.4,1.5,1.4,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,
Ecuador,,,,,,,,,1,,,,,,,0.9,,,,1.3,0.7,0.9,,,1.1,1,1.1,1.3,1.1,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.6,1.6,
Egypt,,,,,,,,,,,,3.8,,,,,4.2,,,,3.9,,,,,3.9,,,,3.9,,3.9,,4.1,,,3.9,,
El Salvador,,,,,,,,,,,,,0.6,,,,1.1,1.1,,0.4,0.5,1,0.9,0.9,0.7,1.1,1.2,1.7,1.9,1.7,1.8,1.9,2.1,2.2,2.1,2.2,2.4,2.3,
Estonia,,,,,,,,,,,,,,,2.5,,,,,,,,,,2,2.5,2.7,2.8,3,2.9,2.8,2.6,2.6,2.6,2.4,2.4,2.7,,
Ethiopia,,,,,,,,,,,,,,,,,2.6,,,,3.9,,,,,4.1,,,,,,3.2,,,,,2.6,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,2.7,,,,,3.1,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,3.9,3.9,4,3.8,3.8,3.8,3.8,3.7,3.8,3.9,3.8,3.9,3.9,,
France,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.5,3.5,3.4,3.3,3.2,3.1,3.1,3.1,3.1,3.2,3.2,3.1,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,2.2
Gambia,,,,,,,,,,,,,,,,,,,,1.5,,,,,1.8,,,,,,,2.2,,,,,3,,
Georgia,,,,,,,,,,,,,,,,,,2.3,1.8,1.7,1.9,1.8,2,2.3,2.3,2.2,2.2,2.3,2.2,2.2,2.3,2,2,2.2,2.3,2.5,2.6,2.6,
Germany,,,,,,,,,,,,,3.7,,,3.4,,,,,,3.5,3.5,,,3.4,,3.4,3.4,,,3.4,3.5,,3.3,,3.1,,
Ghana,,,,,,,,,2.8,2.9,,,2.6,,,,,,,2.2,,,,,,,1.9,,,,,,,2,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.6,2.6,2.5,2.6,2.7,2.6,2.4,2,1.9,2,2,1.9,,
Guatemala,,,,,,,,1,,,0.7,,,,,,,,,,,1.2,,,,,,1.1,,,,,,,,1.7,,,
Guinea,,,,,,,,,,,,,0.9,,,2.1,,,,,,,,2.3,,,,,2.5,,,,,3,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,2.2,,,,,,,,,2.9,,,,,,,,1.6,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,
Honduras,,,,,,,,,,,1,1,1.2,1.3,1.2,1,1,0.9,1.2,0.5,0.5,,0.8,0.8,0.7,0.7,0.5,0.6,0.9,0.9,1.1,1.1,0.8,0.9,1.1,1.3,1.3,1,
Hungary,,,,,,,,,5,,4.6,,,,4.1,,,,,,,,,,,3.3,2.6,3.4,3.5,3.6,3.6,3.2,3.2,2.9,2.9,2.9,3,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.7,3.6,3.7,3.6,3.7,3.9,3.7,3.8,4.1,3.9,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,
Iran,,,,,,,,1.8,,,,2.1,,,,2.2,,,,2.1,,,,,,,2,2,,,2,,,,2.7,2.4,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,3.7,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3,3.2,3.1,3.3,3.3,3,2.9,2.8,3,2.8,3.1,3.1,,
Israel,2.7,,,,,,,2.6,,,,,,2.8,,,,,2.4,,,,2.3,,,,1.8,,1.8,,,1.8,,1.7,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.4,2.4,2.5,2.5,2.4,2.3,2.1,2.1,2,2,2,1.8,,
Jamaica,,,,,,,,,,2.1,,2.5,,,2.7,,,2.5,,,2,,,1.8,,2.1,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,
Jordan,,,,,,,,3.1,,,,,,2.5,,,,,3.3,,,,,3,,,,3.3,,3.6,,3.5,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,2.7,,,,,2.6,2.9,3.1,3.4,2.3,3.7,3.8,4,4,4.1,4.1,4.1,4.3,4.3,4.3,,
Kenya,,,,,,,,,,,,,,1.2,,1.9,,,2.3,,,,,,,,1.8,,,,,,,,,,2.4,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,1.5,,3.6,3.7,3.6,3.9,3.2,3.5,3.1,3.1,3.5,3.9,3.5,4.2,4,4,4.4,4.1,4.4,
Lao,,,,,,,,,,,,,,3.5,,,,,3.4,,,,,3.7,,,,,3.3,,,,,3.2,,,,,
Latvia,,,,,,,,,,,,,,,4.2,,3.2,2.9,,,,,,,,2.2,2,2.4,2.4,2.1,2,2.1,2.3,2.3,2.3,2.3,2.5,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,
Lesotho,,,,,,,,1,,,,,,,,0.5,,,,,,,,0.9,,,,,,,,0.9,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,3.2,,,
Lithuania,,,,,,,,,,,,,,,3.4,,,,,,,,,,,2,2.2,2.4,2.4,2.3,1.8,2.3,2.6,2.4,2.5,2.1,2.1,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.3,3.3,3.3,3.4,3.2,3.3,3.3,3.2,3,3.1,3.2,2.8,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.8,0.9,1.3,1.6,1.7,,,
Madagascar,,2,,,,,,,,,,,,,2,,,,2.3,,2.5,,1.9,,,,2.7,,,,,2.4,,2.2,,,,,
Malawi,,,,,,,,,,,,,,,,,,,1.6,,,,,,,2.9,,,,,,2.2,,,,,,,
Malaysia,,,,,,1.8,,,2,,2.1,,,1.9,,,1.8,,1.7,,,,,,,1.8,,,1.8,1.8,,,2,,2.3,,2.3,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,2.5,,,,,,,,
Mali,,,,,,,,,,,,,,,,1.7,,,,,,,2.5,,,,,2.5,,,3.3,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.2,3.5,3.2,3.4,3.5,3.4,3.5,3.5,3.5,,
Mauritania,,,,,,,,,1.4,,,,,,2,,2.4,,,,,2.5,,,,2.6,,,,2.6,,,,,,3,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,3,,,,,
Mexico,,,,,,1.5,,,,,,,,1.5,,1.6,,1.6,,1.5,,1.4,,1.7,,1.7,1.6,1.8,,2,,1.9,,2,,2,,2.2,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,1.9,,,,
Moldova,,,,,,,,,,,,,,,,,,,2.4,2.2,2.3,2.7,2.6,2.8,3.1,3,2.9,2.8,3,2.9,3.1,3.3,3.5,3.8,3.9,4.2,4.1,4.3,
Mongolia,,,,,,,,,,,,,,,,,3.1,,,3,,,,3,,,,,3,,,3.2,3.2,3.1,,3.3,,3.3,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.2,3.5,3.2,3.6,3.3,3,3,3.5,,,
Morocco,,,,,,2.7,,,,,,2.8,,,,,,,,2.8,,2.6,,,,,,2.6,,,,,,,2.7,,,,
Mozambique,,,,,,,,,,,,,,,,,,1.5,,,,,,2.1,,,,,,1.9,,,,,,1.6,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,1.3,,,,,,1,,
Nepal,,,,,,,,,,,,,,,,,3.2,,,,,,,,2.7,,,,,,,3.5,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.5,3.5,3.5,3.4,3.6,3.6,3.6,3.7,3.6,3.5,3.5,,
Nicaragua,,,,,,,,,,,,,,,0.5,,,,,0.9,,,1.4,,,,1.9,,,,2,,,,,2,,,
